n,L_n,R_n,M_n
20,5.61,6.41,5.995
40,5.8025,6.2025,5.99875
60,5.8677777778,6.1344444444,5.9994444444
80,5.900625,6.100625,5.9996875
100,5.9204,6.0804,5.9998
120,5.9336111111,6.0669444444,5.9998611111
140,5.9430612245,6.0573469388,5.9998979592
160,5.95015625,6.05015625,5.999921875
180,5.9556790123,6.0445679012,5.9999382716
200,5.9601,6.0401,5.99995
220,5.9637190083,6.036446281,5.9999586777
240,5.9667361111,6.0334027778,5.9999652778
260,5.9692899408,6.0308284024,5.9999704142
280,5.9714795918,6.028622449,5.9999744898
300,5.9733777778,6.0267111111,5.9999777778
320,5.9750390625,6.0250390625,5.9999804688
340,5.9765051903,6.0235640138,5.999982699
360,5.977808642,6.0222530864,5.9999845679
380,5.9789750693,6.0210803324,5.9999861496
400,5.980025,6.020025,5.9999875
420,5.9809750567,6.0190702948,5.9999886621
440,5.981838843,6.0182024793,5.9999896694
460,5.9826275992,6.0174102079,5.9999905482
480,5.9833506944,6.0166840278,5.9999913194
500,5.984016,6.016016,5.999992
520,5.9846301775,6.0153994083,5.9999926036
540,5.9851989026,6.0148285322,5.9999931413
560,5.9857270408,6.0142984694,5.9999936224
580,5.9862187872,6.0138049941,5.9999940547
600,5.9866777778,6.0133444444,5.9999944444
620,5.98710718,6.0129136316,5.9999947971
640,5.9875097656,6.0125097656,5.9999951172
660,5.9878879706,6.0121303949,5.9999954086
680,5.9882439446,6.0117733564,5.9999956747
700,5.9885795918,6.0114367347,5.9999959184
720,5.9888966049,6.0111188272,5.999996142
740,5.9891964938,6.0108181154,5.9999963477
760,5.9894806094,6.010533241,5.9999965374
780,5.9897501644,6.0102629849,5.9999967127
800,5.99000625,6.01000625,5.999996875
820,5.9902498513,6.0097620464,5.9999970256
840,5.9904818594,6.0095294785,5.9999971655
860,5.9907030827,6.0093077339,5.9999972958
880,5.9909142562,6.0090960744,5.9999974174
900,5.9911160494,6.0088938272,5.9999975309
920,5.9913090737,6.0087003781,5.9999976371
940,5.9914938886,6.0085151652,5.9999977365
960,5.9916710069,6.0083376736,5.9999978299
980,5.9918408996,6.0081674302,5.9999979175
1000,5.992004,6.008004,5.999998
1020,5.9921607074,6.0078469819,5.9999980777
1040,5.9923113905,6.0076960059,5.9999981509
1060,5.9924563902,6.0075507298,5.99999822
1080,5.9925960219,6.0074108368,5.9999982853
1100,5.9927305785,6.0072760331,5.9999983471
1120,5.9928603316,6.0071460459,5.9999984056
1140,5.992985534,6.0070206217,5.9999984611
1160,5.9931064209,6.0068995244,5.9999985137
1180,5.9932232117,6.0067825338,5.9999985636
1200,5.9933361111,6.0066694444,5.9999986111
1220,5.9934453104,6.0065600645,5.9999986563
1240,5.9935509886,6.0064542144,5.9999986993
1260,5.9936533132,6.0063517259,5.9999987402
1280,5.9937524414,6.0062524414,5.9999987793
1300,5.9938485207,6.006156213,5.9999988166
1320,5.9939416896,6.0060629017,5.9999988522
1340,5.9940320784,6.0059723769,5.9999988862
1360,5.9941198097,6.0058845156,5.9999989187
1380,5.9942049989,6.0057992018,5.9999989498
1400,5.9942877551,6.0057163265,5.9999989796
1420,5.9943681809,6.0056357866,5.9999990081
1440,5.9944463735,6.0055574846,5.9999990355
1460,5.9945224245,6.0054813286,5.9999990617
1480,5.9945964207,6.0054072316,5.9999990869
1500,5.9946684444,6.0053351111,5.9999991111
1520,5.9947385734,6.0052648892,5.9999991343
1540,5.9948068814,6.0051964918,5.9999991567
1560,5.9948734385,6.0051298488,5.9999991782
1580,5.9949383112,6.0050648934,5.9999991988
1600,5.9950015625,6.0050015625,5.9999992187
1620,5.9950632526,6.0049397958,5.9999992379
1640,5.9951234384,6.004879536,5.9999992564
1660,5.9951821745,6.0048207287,5.9999992742
1680,5.9952395125,6.004763322,5.9999992914
1700,5.9952955017,6.0047072664,5.999999308
1720,5.9953501893,6.0046525149,5.999999324
1740,5.99540362,6.0045990223,5.9999993394
1760,5.9954558368,6.0045467459,5.9999993543
1780,5.9955068804,6.0044956445,5.9999993688
1800,5.9955567901,6.004445679,5.9999993827
1820,5.9956056032,6.004396812,5.9999993962
1840,5.9956533554,6.0043490076,5.9999994093
1860,5.9957000809,6.0043022315,5.9999994219
1880,5.9957458126,6.0042564509,5.9999994341
1900,5.9957905817,6.0042116343,5.999999446
1920,5.9958344184,6.0041677517,5.9999994575
1940,5.9958773515,6.0041247742,5.9999994686
1960,5.9959194086,6.0040826739,5.9999994794
1980,5.9959606163,6.0040414243,5.9999994898
2000,5.996001,6.004001,5.9999995
2020,5.9960405843,6.0039613763,5.9999995099
2040,5.9960793925,6.0039225298,5.9999995194
2060,5.9961174475,6.0038844377,5.9999995287
2080,5.9961547707,6.0038470784,5.9999995377
2100,5.9961913832,6.0038104308,5.9999995465
2120,5.9962273051,6.0037744749,5.999999555
2140,5.9962625557,6.0037391912,5.9999995633
2160,5.9962971536,6.003704561,5.9999995713
2180,5.9963311169,6.0036705665,5.9999995792
2200,5.9963644628,6.0036371901,5.9999995868
2220,5.996397208,6.0036044152,5.9999995942
2240,5.9964293686,6.0035722258,5.9999996014
2260,5.9964609601,6.0035406062,5.9999996084
2280,5.9964919975,6.0035095414,5.9999996153
2300,5.9965224953,6.003479017,5.9999996219
2320,5.9965524673,6.003449019,5.9999996284
2340,5.9965819271,6.0034195339,5.9999996347
2360,5.9966108877,6.0033905487,5.9999996409
2380,5.9966393616,6.0033620507,5.9999996469
2400,5.9966673611,6.0033340278,5.9999996528
2420,5.9966948979,6.0033064681,5.9999996585
2440,5.9967219833,6.0032793604,5.9999996641
2460,5.9967486285,6.0032526935,5.9999996695
